Name Oracles
To increase your immersion in  the Hindu/Indian mythology, I've included some Tigerlander names that are from the Hindi language as well as settlement names.

Ironsmith Indian Oracles

d100 Tigerlander Names: Traditional Male
01 Abheet
02 Aditya
03 Akshat
04 Amanpreet
05 Amitava
06 Angad
07 Aniruddh
08 Anubhav
09 Arjun
10 Armaan
11 Ashish
12 Azad
13 Bhaskar
14 Bhavesh
15 Bhavin
16 Bipin
17 Chetas
18 Chirag
19 Chiranjeev
20 Daanish
21 Dalbir
22 Daljeet
23 Debashish
24 Debyendu
25 Dhruv
26 Dipankar
27 Ehsaan
28 Emir
29 Fardeen
30 Farhan
31 Gagandeep
32 Gaurav
33 Gautam
34 Girish
35 Gurdeep
36 Harbhajan
37 Himmat
38 Imraan
39 Indranuj
40 Jayant
41 Jayesh
42 Jeet
43 Junaid
44 Jyotiraditya
45 Kabir
46 Kartik
47 Karun
48 Khalid
49 Kshit
50 Kuwarjeet
51 Lohith
52 Madhav
53 Mohammed
54 Mridul
55 Navjot
56 Nikhil
57 Nimit
58 Nishith
59 Ojas
60 Om
61 Onkar
62 Paramjit
63 Paritosh
64 Parth
65 Parvez
66 Pavan
67 Pranav
68 Purab
69 Ramandeep
70 Rehaan
71 Rohan
72 Sahil
73 Salman
74 Samarth
75 Samir
76 Sanchit
77 Sanjay
78 Sarabjit
79 Shahzad
80 Shantanu
81 Shishir
82 Shray
83 Siddharth
84 Sparsh
85 Sumer
86 Surjan
87 Swapan
88 Tarun
89 Tejas
90 Tushar
91 Udit
92 Umang
93 Umar
94 Varun
95 Veer
96 Vidur
97 Vinay
98 Yash
99 Zeeshan
100 Zubin

d100 Tigerlander Names: Traditional Female
01 Aaina
02 Aaliyah
03 Aasha
04 Aasiya
05 Aditi
06 Aishwarya
07 Amena
08 Anjali
09 Antara
10 Aparna
11 Arshpreet
12 Aruna
13 Arunima
14 Arzoo
15 Ayesha
16 Bahaar
17 Bhagyashree
18 Bhavna
19 Bhoomi
20 Bipasha
21 Chaaya
22 Chandrika
23 Chhavi
24 Chitragandha
25 Deepika
26 Devika
27 Diya
28 Ekta
29 Falguni
30 Farah
31 Fatima
32 Garima
33 Gauhar
34 Gayatri
35 Geetha
36 Gurleen
37 Harini
38 Harpreet
39 Indrani
40 Ira
41 Jasleen
42 Jayanti
43 Jyothsna
44 Kalyani
45 Kanika
46 Kavya
47 Laila
48 Lathika
49 Lavanya
50 Leela
51 Lopamudra
52 Mahrukh
53 Malavika
54 Maya
55 Meera
56 Meher
57 Naaz
58 Nagma
59 Nalini
60 Nargis
61 Nivedita
62 Noor
63 Parinaaz
64 Parizaad
65 Piya
66 Pooja
67 Prabhjot
68 Preet
69 Rangana
70 Rasika
71 Revati
72 Rihana
73 Ruchika
74 Sabina
75 Saira
76 Sanjana
77 Sarah
78 Shaheen
79 Shahnaz
80 Shereen
81 Shifa
82 Shivani
83 Shreya
84 Shridevi
85 Shweta
86 Simran
87 Surabhi
88 Taahira
89 Tanvi
90 Tara
91 Tavleen
92 Uma
93 Upasana
94 Urvashi
95 Vaishnavi
96 Yamini
97 Yoshita
98 Zahra
99 Zainab
100 Zoya

d100 Tigerlander Settlement Names
01 Akguna
02 Amarawan
03 Bandi
04 Bandigram
05 Barbandha
06 Barpathar
07 Basam
08 Buweligaginna
09 Byasagudi
10 Chainbagar
11 Chainmai
12 Chandchhari
13 Chatganj
14 Chaujung
15 Chaukati
16 Cheganka
17 Chittara
18 Dhagram
19 Dhidhmulah
20 Dhidhvadhoo
21 Dumdukur
22 Farla
23 Farooqtari
24 Farukolmandhoo
25 Fatehnagar
26 Gainagar
27 Gainaidah
28 Ghohari
29 Gorpur
30 Gularuwa
31 Gumia
32 Gunnetura
33 Gurutra
34 Harasona
35 Haticha
36 Jagkheri
37 Janakkha
38 Jhalopur
39 Kanduvasi
40 Karimyar
41 Katola
42 Khandkhara
43 Kirtikot
44 Kirtiran
45 Kudahuffushi
46 Lakshmiganj
47 Lamemaito
48 Lobtu
49 Mangalpathur
50 Mavadhoo
51 Miwabage
52 Mudhuffushi
53 Nalanda
54 Naohani
55 Narabari
56 Narwada
57 Nelagiri
58 Nelajogai
59 Netrogail
60 Otasulla
61 Ounatu
62 Pabe
63 Pahamulla
64 Pahapitiya
65 Paharuppa
66 Pewatta
67 Phisusona
68 Pinsosar
69 Pobari
70 Polhala
71 Polpana
72 Poltipe
73 Rajjogai
74 Ramruwa
75 Randi
76 Rotiganga
77 Sagsi
78 Saksoperi
79 Saktse
80 Sarlunang
81 Shinchap
82 Shingpero
83 Shinkar
84 Sulmipur
85 Sulmipur
86 Tankona
87 Tettagolla
88 Thagong
89 Thagura
90 Thakurban
91 Thidhoo
92 Thigili
93 Thindafaaru
94 Torapola
95 Uppogolla
96 Urusa
97 Vakaragama
98 Veygoodhoo
99 Veyvaranfaru
100 Visvasi
