NAME ORACLES
To increase your immersion in the South American mythology, I've :%s/\s\+$//eincluded some Junglelander names that are from the Quechua language as
    well as settlement names both taken with permission from the awesome
    generators at fantasynamegenerators.com.

d100 Junglelander Names
01 Achik
02 Achikilla
03 Aliqora
04 Anku
05 Ankuwillka
06 Antininan
07 Apumayta
08 Asiri
09 Asto
10 Astu
11 Astuwaraka
12 Ataw
13 Atik
14 Atiq
15 Auk'A
16 Awki
17 Awkiyupanki
18 Ayar
19 Ch'Aska
20 Ch'Ayna
21 Ch'Uya
22 Chami
23 Chaupi
24 Chinpu
25 Hawka
26 Huch'Uykilla
27 Huch'Uysisa
28 Illa
29 Inti
30 Intiwaman
31 Izhi
32 K'Antu
33 Karwamayu
34 Kashayawri
35 Khapaj
36 Khuyaq
37 Killa
38 Killinchu
39 Kokka
40 Kuka
41 Kunturchawa
42 Kunturpuma
43 Kusichinpu
44 Kusiyaya
45 Llaksa
46 Lliwsisa
47 Lloqe
48 Loria
49 Mallku
50 Mamak
51 Mayua
52 Michik
53 Ñawqe
54 Nayaraq
55 Ninan
56 Ninapajcha
57 Parwa
58 Phakcha
59 Phaway
60 Phuyuqhawa
61 Pillkomayu
62 Pomayauri
63 Pumasunk'U
64 Puquy
65 Q'Uñirayan
66 Qhapaqyupanki
67 Qillqa
68 Qollana
69 Qollorit'I
70 Qollqe
71 Qori
72 Qucha
73 Qurichullpi
74 Quripuma
75 Quriquyllur
76 Rimak
77 Rumisunk'U
78 Sach'Asisa
79 Siyaya
80 Somak
81 Sunk'Uyuq
82 Suri
83 T'It'U
84 Taki'Illareq
85 Talla
86 Tamiasisa
87 Tinkipoma
88 Tupaqhapaq
89 Urk'O
90 Urpi
91 Urpiyurak
92 Urquqolla
93 Usqowillka
94 Wamanchuri
95 Waylla
96 Yakuy
97 Yanay
98 Yauri
99 Yawarwaqaq
100  Yuri

d100 Settlement Names
01 Acayaty
02 Acelonia
03 Agualao
04 Arilota
05 Arronín
06 Ascenlomi
07 Atlábaé
08 Atlácio
09 Atocaé
10 Atymero
11 Azánritor
12 Balos
13 Blannia
14 Buhuano
15 Buldo
16 Camraz
17 Cañacia
18 Capirón
19 Carhuasica
20 Carli
21 Carquillo
22 Casilares
23 Castia
24 Caucón
25 Caudero
26 Ceryos
27 Chaulas
28 Chonjuí
29 Chures
30 Comaguas
31 Comahuanaca
32 Copatora
33 Corguel
34 Corodente
35 Cotoruro
36 Desmopio
37 Diaciúma
38 Diviraca
39 Escocupé
40 Eusedro
41 Frulí
42 Huánumay
43 Indaiacife
44 Itaquacetuba
45 Jaboasa
46 Jandiraz
47 Junsa
48 La Lamiento
49 Lasreso
50 Lupevi
51 Maldovenir
52 Mánmey
53 Mbuyacuí
54 Minemuri
55 Mineroico
56 Miztus
57 Mogasta
58 Nacaí
59 Nuelota
60 Ñutiago
61 Omsupá
62 Pacancomay
63 Paineros
64 Pangoa
65 Panguihuano
66 Panrazno
67 Pecero
68 Petroraca
69  Pilcocomay
70  Piriájas
71  Pobamba
72  Polipi
73  Povier
74  Punguas
75  Purraros
76  Rauchi
77  Remão
78  Roza
79  Rurretoca
80  San Anhay
81  San Bozos
82  San Carcha
83  San Cosby
84  San Fermes
85  San Icabamba
86  São Pacetuba
87  Sapuru
88  Sosar
89  Tajarí
90  Tammerín
91  Tebiwa
92  Temucón
93  Tugas
94  Vadivia
95  Velátasar
96  Vera
97  Viania
98  Yego
99  Ygalena
100  Yuno

Regions of the Junglelands
Each region in the Junglelands corresponds to a region on the normal Ironsworn map. In this way, you can continue to use the same map while still getting a new flavor for the setting.

d100 Regions of the Junglelands
01-12  Rumi Uma Wat'a <i>Stone Head Isles</i> (Barrier Islands)
13-24  Kiru Chhukruna <i>The Toothed Beak</i> (Ragged Coast)
25-34  Unu Sach’ara <i>The Drowning Wood</i> (Deep Wilds)
35-46  Thuniy Nan <i>The Shattered Road</i> (Flooded Lands)
47-60  Chinka Wayta Pata <i>The Lost Garden</i> (Havens)
61-72  Q'umir Amaru Pikchu <i>The Green Snake Hills</i> (Hinterlands)
73-84  Qincha Phaqcha <i>Wall of Waterfalls</i> (Tempest Hills)
85-94  Yana Hirka <i>The Obsidian Mountains</i> (Veiled Mountains)
95-99  P'uruna T'urr <i>Red Sea</i> (The Sinking Plains of Mud)
100    Elsewhere
